["hostname CE1", "set system host-name CE1"]
["interface GigabitEthernet1/0/1.1", "set interfaces ge-1/0/1.1 unit 1 disable"]
["interface GigabitEthernet1/0/1.1", "set interfaces ge-1/0/1.1 disable"]
["no shutdown", "set interfaces ge-1/0/1.1 ether-options no-auto-negotiation"]
["no shutdown", "set interfaces ge-1/0/2.1 ether-options no-auto-negotiation"]
["ip address 192.168.1.2 255.255.255.0", "set interfaces ge-1/0/1.1 unit 0 family inet address 192.168.1.2/24"]
["interface GigabitEthernet1/0/2.1", "set interfaces ge-1/0/2.1 unit 1 disable"]
["interface GigabitEthernet1/0/2.1", "set interfaces ge-1/0/2.1 disable"]
["ip address 172.16.1.2 255.255.255.0", "set interfaces ge-1/0/2.1 unit 0 family inet address 172.16.1.2/24"]
["router bgp 65410", "set routing-options autonomous-system 65410"]
["neighbor 192.168.1.1 remote-as 100", "set protocols bgp group IBGP type external"]
["neighbor 192.168.1.1 remote-as 100", "set protocols bgp group IBGP neighbor 192.168.1.1 peer-as 100"]
["neighbor 192.168.1.1 remote-as 100", "set protocols bgp group IBGP peer-as 100"]
["neighbor 192.168.1.1 remote-as 100", "set protocols bgp group IBGP export 100"]
["neighbor 172.16.1.1 remote-as 100", "set protocols bgp group IBGP type external"]
["neighbor 172.16.1.1 remote-as 100", "set protocols bgp group IBGP neighbor 172.16.1.1 peer-as 100"]
["neighbor 172.16.1.1 remote-as 100", "set protocols bgp group IBGP peer-as 100"]
["neighbor 172.16.1.1 remote-as 100", "set protocols bgp group IBGP export 100"]
["address-family ipv4 unicast", "set protocols bgp group IBGP family inet unicast"]
["no synchronization", "set protocols bgp local-as 65410"]
