["hostname CE1", "set system host-name CE1"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 unit 0 disable"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["no shutdown", "set interfaces ge-1/0/0 ether-options no-auto-negotiation"]
["ip address 10.1.1.1 255.255.255.252", "set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.1/30"]
["interface Loopback1", "set interfaces lo0 unit 1 disable"]
["interface Loopback1", "set interfaces lo0 disable"]
["ip address 3.3.3.3 255.255.255.255", "set interfaces lo0.1 unit 0 family inet address 3.3.3.3/32"]
["router bgp 65410", "set routing-options autonomous-system 65410"]
["neighbor 10.1.1.2 remote-as 100", "set protocols bgp group IBGP type external"]
["neighbor 10.1.1.2 remote-as 100", "set protocols bgp group IBGP neighbor 10.1.1.2 peer-as 100"]
["neighbor 10.1.1.2 remote-as 100", "set protocols bgp group IBGP peer-as 100"]
["neighbor 10.1.1.2 remote-as 100", "set protocols bgp group IBGP export 100"]
["address-family ipv4 unicast", "set protocols bgp group IBGP family inet unicast"]
["no synchronization", "set protocols bgp local-as 65410"]
["network 3.3.3.3 mask 255.255.255.255", "set policy-options policy-statement 3.3.3.3/32 term none from route-filter 3.3.3.3/255.255.255.255 exact"]
["network 3.3.3.3 mask 255.255.255.255", "set policy-options policy-statement 3.3.3.3/32 term 3.3.3.3 then 255.255.255.255"]
