["hostname CE2", "set system host-name CE2"]
["vlan 10", "set vlans vlan10 vlan-id 10"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 unit 0 disable"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["switchport", "set interfaces ge-1/0/0 unit 0 family ethernet-switching port-mode access"]
["switchport", "set interfaces ge-2/0/0 unit 0 family ethernet-switching port-mode access"]
["no shutdown", "set interfaces ge-1/0/0 ether-options no-auto-negotiation"]
["switchport mode access", "set interfaces ge-1/0/0 unit 0 family ethernet-switching interface-mode access"]
["switchport mode access", "set interfaces ge-1/0/0 unit 0 family ethernet-switching port-mode access"]
["switchport mode access", "set interfaces ge-2/0/0 unit 0 family ethernet-switching interface-mode access"]
["switchport mode access", "set interfaces ge-2/0/0 unit 0 family ethernet-switching port-mode access"]
["switchport access vlan 10", "set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members 10"]
["interface GigabitEthernet2/0/0", "set interfaces ge-2/0/0 unit 0 disable"]
["interface GigabitEthernet2/0/0", "set interfaces ge-2/0/0 disable"]
