["hostname CE3", "set system host-name CE3"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 unit 0 disable"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["no shutdown", "set interfaces ge-1/0/0 ether-options no-auto-negotiation"]
["ip address 10.3.1.1 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.3.1.1/24"]
["router bgp 800", "set routing-options autonomous-system 800 family inet"]
["neighbor 10.3.1.2 remote-as 100", "set protocols bgp group IBGP type external"]
["neighbor 10.3.1.2 remote-as 100", "set protocols bgp group IBGP neighbor 10.3.1.2 peer-as 100"]
["neighbor 10.3.1.2 remote-as 100", "set protocols bgp group IBGP peer-as 100"]
["neighbor 10.3.1.2 remote-as 100", "set protocols bgp group IBGP export BGP-NETWORKS"]
["address-family ipv4", "set routing-options autonomous-system 800 family inet"]
["no synchronization", "set protocols bgp local-as 800"]
["network 10.3.1.0 mask 255.255.255.0", "set policy-options policy-statement BGP-NETWORKS term none from route-filter 10.3.1.0/24 exact"]
["network 10.3.1.0 mask 255.255.255.0", "set policy-options policy-statement BGP-NETWORKS term 10.3.1.0 then 255.255.255.0"]
["exit-address-family", "set routing-options autonomous-system 800 deactivate protocols bgp group <group-name> family inet"]
