["set system host-name CE2", "sysname CE2"]
["set interfaces ge-1/0/1", "interface GigabitEthernet1/0/1"]
["set interfaces ge-1/0/1", "undo shutdown"]
["set interfaces ge-1/0/1 unit 20 vlan-id 20", "return"]
["set interfaces ge-1/0/1 unit 20 vlan-id 20", "vlan-type dot1q 20"]
["set interfaces ge-1/0/1 unit 20 family inet address 10.3.1.2/24", "ip address 10.3.1.2 255.255.255.0"]
["set protocols bgp group eBGP", "user-group eBGP"]
["set protocols bgp group eBGP type external", "bgp 600"]
["set protocols bgp group eBGP peer-as 100", "bgp 100"]
["set protocols bgp group eBGP peer-as 100", "peer 100 ebgp-max-hop 255"]
["set protocols bgp group eBGP neighbor 10.2.1.1 family inet unicast", "ipv6-family unicast"]
["set protocols bgp group eBGP export direct-routes", "ipv4-family unicast"]
["set protocols bgp group eBGP export direct-routes", "peer 5.5.5.5 route-policy direct-routes export"]
["set policy-options policy-statement direct-routes", "traffic-policy 1 inbound"]
["set policy-options policy-statement direct-routes term 1 from protocol direct", "traffic policy 1"]
["set policy-options policy-statement direct-routes term 1 from protocol direct", "ipv4-family unicast"]
["set policy-options policy-statement direct-routes term 1 from protocol direct", "import-route direct"]
["set policy-options policy-statement direct-routes term 1 then accept", "peer 10.1.1.2 enable"]
["set policy-options policy-statement direct-routes term 1 then accept", "ipv4-family unicast"]
