["set system host-name CE1", "sysname CE1"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.2/24", "return"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.2/24", "ip address 10.1.1.2 255.255.255.0"]
["set interfaces lo0", "undo shutdown"]
["set interfaces lo0 unit 1 family inet address 11.11.11.11/32", "ip address 11.11.11.11 255.255.255.255"]
["set protocols bgp group external-peers", "user-group external-peers"]
["set protocols bgp group external-peers type external", "bgp 600"]
["set protocols bgp group external-peers peer-as 100", "bgp 100"]
["set protocols bgp group external-peers peer-as 100", "peer 100 ebgp-max-hop 10"]
["set protocols bgp group external-peers neighbor 10.1.1.1", "peer 10.1.1.1 as-number 100"]
["set protocols bgp group external-peers family inet unicast", "ipv6-family unicast"]
["set protocols bgp group external-peers export announce-lo0", "ipv4-family unicast"]
["set protocols bgp group external-peers export announce-lo0", "peer 5.5.5.5 route-policy announce-lo0 export"]
["set protocols bgp local-as 65410", "bgp 65410"]
["set protocols bgp local-as 65410", "peer none as-number 65410"]
["set policy-options policy-statement announce-lo0", "traffic-policy 1 inbound"]
["set policy-options policy-statement announce-lo0 term 1 from route-filter 11.11.11.11/32 exact", "ipv4-family unicast"]
["set policy-options policy-statement announce-lo0 term 1 from route-filter 11.11.11.11/32 exact", "peer 11.11.11.11 enable"]
["set policy-options policy-statement announce-lo0 term 1 from route-filter 11.11.11.11/32 exact", "undo synchronization"]
["set policy-options policy-statement announce-lo0 term 1 from route-filter 11.11.11.11/32 exact", "import-route direct"]
["set policy-options policy-statement announce-lo0 term 1 then accept", "traffic policy 1"]
["set policy-options policy-statement announce-lo0 term 1 then accept", "peer 10.1.1.2 enable"]
["set policy-options policy-statement announce-lo0 term 1 then accept", "ipv4-family unicast"]
