["set system host-name CE2", "sysname CE2"]
["set vlans vlan-3", "vlan batch 3"]
["set interfaces ge-0/0/1", "interface GigabitEthernet0/0/1"]
["set interfaces ge-0/0/1", "undo shutdown"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan-3", "return"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan-3", "portswitch"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan-3", "port default vlan 3"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan-3", "port trunk allow-pass vlan 3"]
["set interfaces ge-0/0/2", "interface ge-0/0/2"]
["set interfaces ge-0/0/2", "undo shutdown"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching interface-mode access", "interface GigabitEthernet0/0/2"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan-3", "portswitch"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan-3", "port default vlan 3"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan-3", "port trunk allow-pass vlan 3"]
["set interfaces ge-0/0/3", "interface ge-0/0/3"]
["set interfaces ge-0/0/3", "undo shutdown"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching interface-mode trunk", "interface GigabitEthernet0/0/3"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members vlan-3", "portswitch"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members vlan-3", "port default vlan 3"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members vlan-3", "port trunk allow-pass vlan 3"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members default", "portswitch"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members default", "port default vlan 10"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members default", "port trunk allow-pass vlan 1"]
