["set system host-name CE1", "sysname CE1"]
["set interfaces ge-0/0/0", "interface GigabitEthernet0/0/0"]
["set interfaces ge-0/0/0", "undo shutdown"]
["set interfaces ge-0/0/0 unit 0 family inet address 10.1.1.1/30", "return"]
["set interfaces ge-0/0/0 unit 0 family inet address 10.1.1.1/30", "ip address 10.1.1.1 255.255.255.252"]
["set interfaces lo0", "undo shutdown"]
["set interfaces lo0 unit 0 family inet address 3.3.3.3/32", "ip address 3.3.3.3 255.255.255.255"]
["set routing-options autonomous-system 65410", "bgp 65410"]
["set policy-options policy-statement direct-import", "traffic-policy 1 inbound"]
["set policy-options policy-statement direct-import term 1 from protocol direct", "traffic policy 1"]
["set policy-options policy-statement direct-import term 1 from protocol direct", "ipv4-family unicast"]
["set policy-options policy-statement direct-import term 1 from protocol direct", "import-route direct"]
["set policy-options policy-statement direct-import term 1 then accept", "peer 10.1.1.2 enable"]
["set policy-options policy-statement direct-import term 1 then accept", "ipv4-family unicast"]
["set policy-options policy-statement direct-import term 2 then reject", "traffic policy 2"]
["set policy-options policy-statement direct-import term 2 then reject", "peer 10.1.1.2 enable"]
["set policy-options policy-statement direct-import term 2 then reject", "ipv4-family unicast"]
["set protocols bgp group external", "user-group external"]
["set protocols bgp group external type external", "bgp 600"]
["set protocols bgp group external local-address 10.1.1.1", "peer 10.1.1.1 as-number 0"]
["set protocols bgp group external peer-as 100", "bgp 100"]
["set protocols bgp group external peer-as 100", "peer 100 ebgp-max-hop 10"]
["set protocols bgp group external neighbor 10.1.1.2", "peer 10.1.1.2 as-number 100"]
["set protocols bgp group external neighbor 10.1.1.2", "peer 10.1.1.2 route-policy direct-import import"]
["set protocols bgp group external neighbor 10.1.1.2 import direct-import", "ipv4-family unicast"]
["set protocols bgp group external neighbor 10.1.1.2 import direct-import", "peer 10.1.1.2 route-policy direct-import import"]
["set protocols bgp group external family inet unicast", "ipv6-family unicast"]
