["set system host-name CE1", "sysname CE1"]
["set interfaces ge-2/0/0", "interface GigabitEthernet2/0/0"]
["set interfaces ge-2/0/0", "undo shutdown"]
["set interfaces ge-2/0/0 unit 0 family inet address 10.4.1.1/24", "return"]
["set interfaces ge-2/0/0 unit 0 family inet address 10.4.1.1/24", "ip address 10.4.1.1 255.255.255.0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.1/24", "ip address 10.1.1.1 255.255.255.0"]
["set routing-options static route 0.0.0.0/0", "ip route-static 0.0.0.0 0.0.0.0 none none"]
["set routing-options static route 0.0.0.0/0 next-hop 10.1.1.2", "ip route-static 0.0.0.0 0.0.0.0 10.1.1.2"]
["set protocols bgp group IBGP", "user-group IBGP"]
["set protocols bgp group IBGP type external", "bgp 600"]
["set protocols bgp group IBGP peer-as 100", "bgp 100"]
["set protocols bgp group IBGP peer-as 100", "peer 100 ebgp-max-hop 255"]
["set protocols bgp group IBGP neighbor 10.1.1.2", "peer 10.1.1.2 as-number 100"]
["set protocols bgp group IBGP family inet unicast", "ipv6-family unicast"]
["set protocols bgp group IBGP export BGP-NETWORKS", "ipv4-family unicast"]
["set protocols bgp group IBGP export BGP-NETWORKS", "peer none route-policy BGP-NETWORKS export"]
["set policy-options policy-statement BGP-NETWORKS", "traffic-policy 1 inbound"]
["set policy-options policy-statement BGP-NETWORKS term 1 from route-filter 10.1.1.0/24 exact", "ipv4-family unicast"]
["set policy-options policy-statement BGP-NETWORKS term 1 from route-filter 10.1.1.0/24 exact", "peer 10.1.1.0 enable"]
["set policy-options policy-statement BGP-NETWORKS term 1 from route-filter 10.1.1.0/24 exact", "undo synchronization"]
["set policy-options policy-statement BGP-NETWORKS term 1 from route-filter 10.1.1.0/24 exact", "import-route direct"]
["set policy-options policy-statement BGP-NETWORKS term 1 then accept", "traffic policy 1"]
["set policy-options policy-statement BGP-NETWORKS term 1 then accept", "peer 10.1.1.2 enable"]
["set policy-options policy-statement BGP-NETWORKS term 1 then accept", "ipv4-family unicast"]
