["set system host-name CE1", "sysname CE1"]
["set vlans vlan-5", "vlan batch 5"]
["set vlans vlan-9", "vlan batch 9"]
["set interfaces ge-1/0/1", "interface GigabitEthernet1/0/1"]
["set interfaces ge-1/0/1", "undo shutdown"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "return"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "portswitch"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "port default vlan 5"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "port trunk allow-pass vlan 5"]
["set interfaces ge-1/0/1 disable", "stp disable"]
["set interfaces ge-1/0/2", "interface ge-1/0/2"]
["set interfaces ge-1/0/2", "undo shutdown"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "interface GigabitEthernet1/0/2"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "portswitch"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "port default vlan 5"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "port trunk allow-pass vlan 5"]
["set interfaces ge-1/0/2 disable", "stp disable"]
["set interfaces ge-1/0/3", "interface ge-1/0/3"]
["set interfaces ge-1/0/3", "undo shutdown"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-9", "interface GigabitEthernet1/0/3"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-9", "portswitch"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-9", "port default vlan 9"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-9", "port trunk allow-pass vlan 9"]
["set interfaces ge-1/0/3 disable", "stp disable"]
["set interfaces ge-1/0/4", "interface ge-1/0/4"]
["set interfaces ge-1/0/4", "undo shutdown"]
["set interfaces ge-1/0/4 unit 0 family ethernet-switching vlan members vlan-9", "interface GigabitEthernet1/0/4"]
["set interfaces ge-1/0/4 unit 0 family ethernet-switching vlan members vlan-9", "portswitch"]
["set interfaces ge-1/0/4 unit 0 family ethernet-switching vlan members vlan-9", "port default vlan 9"]
["set interfaces ge-1/0/4 unit 0 family ethernet-switching vlan members vlan-9", "port trunk allow-pass vlan 9"]
["set interfaces ge-1/0/4 disable", "stp disable"]
["set interfaces ge-1/0/5", "interface ge-1/0/5"]
["set interfaces ge-1/0/5", "undo shutdown"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-5", "interface GigabitEthernet1/0/5"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-5", "portswitch"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-5", "port default vlan 5"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-5", "port trunk allow-pass vlan 5"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-9", "portswitch"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-9", "port default vlan 9"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-9", "port trunk allow-pass vlan 9"]
