["set system host-name CE1", "sysname CE1"]
["set vlans vlan10", "vlan batch 10"]
["set interfaces ge-0/0/1", "interface GigabitEthernet0/0/1"]
["set interfaces ge-0/0/1", "undo shutdown"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching port-mode access", "portswitch"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching port-mode access", "port link-type access"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan10", "portswitch"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan10", "port default vlan 10"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan10", "port trunk allow-pass vlan 10"]
["set interfaces ge-0/0/1 enable", "return"]
["set interfaces ge-0/0/1 enable", "stp enable"]
["set interfaces ge-0/0/2", "undo shutdown"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching port-mode trunk", "portswitch"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching port-mode trunk", "port link-type trunk"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan10", "portswitch"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan10", "port default vlan 10"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan10", "port trunk allow-pass vlan 10"]
["set interfaces ge-0/0/2 enable", "stp enable"]
