["set system host-name CE2", "sysname CE2"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.2/24", "return"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.2/24", "ip address 10.2.1.2 255.255.255.0"]
["set interfaces lo0", "undo shutdown"]
["set interfaces lo0 unit 1 family inet address 22.22.22.22/32", "ip address 22.22.22.22 255.255.255.255"]
["set protocols bgp group external-peers", "user-group external-peers"]
["set protocols bgp group external-peers type external", "bgp 600"]
["set protocols bgp group external-peers peer-as 100", "bgp 100"]
["set protocols bgp group external-peers peer-as 100", "peer 100 ebgp-max-hop none"]
["set protocols bgp group external-peers neighbor 10.2.1.1", "peer 10.2.1.1 as-number 100"]
["set protocols bgp group external-peers export advertise-networks", "ipv4-family unicast"]
["set protocols bgp group external-peers export advertise-networks", "peer none route-policy advertise-networks export"]
["set policy-options policy-statement advertise-networks", "traffic-policy 1 inbound"]
["set policy-options policy-statement advertise-networks term 1 from route-filter 22.22.22.22/32 exact", "ipv4-family unicast"]
["set policy-options policy-statement advertise-networks term 1 from route-filter 22.22.22.22/32 exact", "peer 22.22.22.22 enable"]
["set policy-options policy-statement advertise-networks term 1 from route-filter 22.22.22.22/32 exact", "undo synchronization"]
["set policy-options policy-statement advertise-networks term 1 from route-filter 22.22.22.22/32 exact", "import-route direct"]
["set policy-options policy-statement advertise-networks then accept", "peer 10.1.1.2 enable"]
["set policy-options policy-statement advertise-networks then accept", "ipv4-family unicast"]
