["hostname CE2", "sysname CE2"]
["vlan 3", "vlan 3"]
["vlan 3", "vlan batch 3"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["no shutdown", "undo shutdown"]
["switchport", "portswitch"]
["switchport mode access", "port link-type access"]
["switchport access vlan 3", "port default vlan 3"]
["interface GigabitEthernet1/0/2", "interface GigabitEthernet1/0/2"]
["interface GigabitEthernet1/0/3", "interface GigabitEthernet1/0/3"]
["switchport mode trunk", "port link-type trunk"]
["switchport trunk allowed vlan 3", "return"]
["switchport trunk allowed vlan 3", "port trunk allow-pass vlan 3"]
