["hostname CE2", "sysname CE2"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["no shutdown", "return"]
["no shutdown", "undo shutdown"]
["interface GigabitEthernet1/0/1.20", "interface GigabitEthernet1/0/1.20"]
["encapsulation dot1Q 20", "vlan-type dot1q 20"]
["ip address 10.3.1.2 255.255.255.0", "ip address 10.3.1.2 255.255.255.0"]
["router bgp 65420", "bgp 65420"]
["neighbor 10.2.1.1 remote-as 100", "peer 10.2.1.1 as-number 100"]
["neighbor 10.2.1.1 remote-as 100", "peer 10.2.1.1 enable"]
["neighbor 10.2.1.1 remote-as 100", "import-route direct"]
["neighbor 10.2.1.1 remote-as 100", "ipv4-family unicast"]
["address-family ipv4 unicast", "ipv4-family unicast"]
["address-family ipv4 unicast", "undo synchronization"]
["synchronization none", "ipv4-family unicast"]
["synchronization none", "undo synchronization"]
["network 10.3.1.0 mask 255.255.255.0", "network 10.3.1.0 0.0.0.255"]
["neighbor 10.2.1.1 activate", "ipv4-family unicast"]
["neighbor 10.2.1.1 activate", "peer 10.2.1.1 next-hop-local"]
