["hostname CE3", "sysname CE3"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["no shutdown", "undo shutdown"]
["ip address 10.3.1.1 255.255.255.0", "return"]
["ip address 10.3.1.1 255.255.255.0", "ip address 10.3.1.1 255.255.255.0"]
["router bgp 800", "bgp 800"]
["neighbor 10.3.1.2 remote-as 100", "peer 10.3.1.2 as-number 100"]
["neighbor 10.3.1.2 remote-as 100", "peer 10.3.1.2 enable"]
["neighbor 10.3.1.2 remote-as 100", "import-route direct"]
["neighbor 10.3.1.2 remote-as 100", "ipv4-family unicast"]
["address-family ipv4", "ipv4-family unicast"]
["no synchronization", "undo synchronization"]
["network 10.3.1.0 mask 255.255.255.0", "network 10.3.1.0 0.0.0.255"]
["neighbor 10.3.1.2 activate", "ipv4-family unicast"]
["neighbor 10.3.1.2 activate", "peer 10.3.1.2 next-hop-local"]
["exit-address-family", "ipv4-family unicast"]
