["hostname CE1", "sysname CE1"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["no shutdown", "undo shutdown"]
["ip address 10.1.1.2 255.255.255.0", "return"]
["ip address 10.1.1.2 255.255.255.0", "ip address 10.1.1.2 255.255.255.0"]
["interface Loopback1", "interface Loopback1"]
["ip address 11.11.11.11 255.255.255.255", "interface LoopBack1"]
["ip address 11.11.11.11 255.255.255.255", "ip address 11.11.11.11 255.255.255.255"]
["router bgp 65410", "bgp 65410"]
["neighbor 10.1.1.1 remote-as 100", "peer 10.1.1.1 as-number 100"]
["neighbor 10.1.1.1 remote-as 100", "peer 10.1.1.1 enable"]
["neighbor 10.1.1.1 remote-as 100", "import-route direct"]
["neighbor 10.1.1.1 remote-as 100", "ipv4-family unicast"]
["address-family ipv4 unicast", "ipv4-family unicast"]
["address-family ipv4 unicast", "undo synchronization"]
["no synchronization", "undo synchronization"]
["network 11.11.11.11 mask 255.255.255.255", "network 11.11.11.11 0.0.0.0"]
["neighbor 10.1.1.1 activate", "ipv4-family unicast"]
["neighbor 10.1.1.1 activate", "peer 10.1.1.1 next-hop-local"]
