["hostname CE1", "sysname CE1"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["no shutdown", "undo shutdown"]
["interface GigabitEthernet1/0/1.10", "interface GigabitEthernet1/0/1.10"]
["encapsulation dot1q 10", "mpls l2vpn"]
["encapsulation dot1q 10", "interface GigabitEthernet1/0/1.10 mode l2"]
["encapsulation dot1q 10", "encapsulation dot1q vid 10"]
["encapsulation dot1q 10", "vlan-type dot1q 10"]
["encapsulation dot1q 10", "mpls ldp"]
["ip address 10.1.1.1 255.255.255.0", "return"]
["ip address 10.1.1.1 255.255.255.0", "ip address 10.1.1.1 255.255.255.0"]
