["hostname CE1", "sysname CE1"]
["vlan 10", "vlan 10"]
["vlan 10", "vlan batch 10"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["switchport", "portswitch"]
["no shutdown", "undo shutdown"]
["switchport mode access", "port link-type access"]
["switchport access vlan 10", "port default vlan 10"]
["interface GigabitEthernet1/0/2", "interface GigabitEthernet1/0/2"]
["switchport mode trunk", "port link-type trunk"]
["switchport trunk allowed vlan 10", "return"]
["switchport trunk allowed vlan 10", "port trunk allow-pass vlan 10"]
