["sysname CE1", "hostname CE1"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["undo shutdown", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["ip address 10.1.1.2 255.255.255.0", "end"]
["ip address 10.1.1.2 255.255.255.0", "ip address 10.1.1.2 255.255.255.0"]
["interface LoopBack1", "interface LoopBack1"]
["ip address 11.11.11.11 255.255.255.255", "ip address 11.11.11.11 255.255.255.255"]
["bgp 65410", "router bgp 65410"]
["peer 10.1.1.1 as-number 100", "neighbor 10.1.1.1 remote-as 100"]
["ipv4-family unicast", "address-family ipv4 unicast"]
["undo synchronization", "no synchronization"]
["network 11.11.11.11 255.255.255.255", "router ospf 11"]
["network 11.11.11.11 255.255.255.255", "network 11.11.11.11 0.0.0.0 area 0"]
["peer 10.1.1.1 enable", "neighbor 10.1.1.1 activate"]
["peer 10.1.1.1 enable", "exit-address-family"]
