["sysname CE2", "hostname CE2"]
["vlan batch 3", "vlan batch 3"]
["vlan batch 3", "vlan 3"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["portswitch", "switchport"]
["portswitch", "switchport mode access"]
["undo shutdown", "no shutdown"]
["port link-type access", "spanning-tree portfast access"]
["port default vlan 3", "switchport access vlan 3"]
["interface GigabitEthernet1/0/2", "interface GigabitEthernet1/0/2"]
["interface GigabitEthernet1/0/3", "interface GigabitEthernet1/0/3"]
["port link-type trunk", "spanning-tree portfast trunk"]
["port trunk allow-pass vlan 3", "end"]
["port trunk allow-pass vlan 3", "switchport trunk allowed vlan 3"]
