["sysname CE1", "hostname CE1"]
["vlan batch 10", "vlan batch 10"]
["vlan batch 10", "vlan 10"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["portswitch", "switchport"]
["portswitch", "switchport mode access"]
["undo shutdown", "switchport backup interface GigabitEthernet1/0/2"]
["port link-type access", "spanning-tree portfast access"]
["port default vlan 10", "switchport access vlan 10"]
["interface GigabitEthernet1/0/2", "interface GigabitEthernet1/0/2"]
["port link-type trunk", "spanning-tree portfast trunk"]
["port trunk allow-pass vlan 10", "end"]
["port trunk allow-pass vlan 10", "switchport trunk allowed vlan 10"]
