["sysname CE2", "hostname CE2"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["interface GigabitEthernet1/0/1.1", "interface GigabitEthernet1/0/1.1"]
["vlan-type dot1q 20", "encapsulation dot1q 20"]
["ip address 10.3.1.2 255.255.255.0", "end"]
["ip address 10.3.1.2 255.255.255.0", "ip address 10.3.1.2 255.255.255.0"]
["bgp 65420", "router bgp 65420"]
["peer 10.2.1.1 as-number 100", "neighbor 10.2.1.1 remote-as 100"]
["ipv4-family unicast", "address-family ipv4 unicast"]
["undo synchronization", "no synchronization"]
["import-route direct", "address-family ipv4 vrf vpn1"]
["import-route direct", "redistribute connected"]
["peer 10.2.1.1 enable", "neighbor 10.2.1.1 activate"]
["peer 10.2.1.1 enable", "exit-address-family"]
