["sysname CE3", "hostname CE3"]
["interface Gigabitethernet1/0/0", "interface GigabitEthernet1/0/0"]
["undo shutdown", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["ip address 10.3.1.1 255.255.255.0", "end"]
["ip address 10.3.1.1 255.255.255.0", "ip address 10.3.1.1 255.255.255.0"]
["bgp 800", "router bgp 800"]
["peer 10.3.1.2 as-number 100", "neighbor 10.3.1.2 remote-as 100"]
["ipv4-family unicast", "address-family ipv4 unicast"]
["undo synchronization", "no synchronization"]
["import-route direct", "address-family ipv4 vrf vpn1"]
["import-route direct", "redistribute connected"]
["peer 10.3.1.2 enable", "neighbor 10.3.1.2 activate"]
["peer 10.3.1.2 enable", "exit-address-family"]
