["sysname CE2", "hostname CE2"]
["vlan batch 5", "vlan batch 5"]
["vlan batch 5", "vlan 5"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["portswitch", "switchport"]
["portswitch", "switchport mode access"]
["port link-type access", "spanning-tree portfast access"]
["port default vlan 5", "switchport access vlan 5"]
["interface GigabitEthernet1/0/2", "interface GigabitEthernet1/0/2"]
["interface GigabitEthernet1/0/3", "interface GigabitEthernet1/0/3"]
["port link-type trunk", "spanning-tree portfast trunk"]
["port trunk allow-pass vlan 5", "end"]
["port trunk allow-pass vlan 5", "switchport trunk allowed vlan 5"]
