["set system host-name CE2", "hostname CE2"]
["set vlans vlan-3", "vlan 3"]
["set vlans vlan-3", "name vlan-3"]
["set interfaces ge-0/0/1", "interface GigabitEthernet0/0/1"]
["set interfaces ge-0/0/1", "no shutdown"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan-3", "end"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan-3", "switchport"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan-3", "switchport access vlan 3"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan-3", "switchport trunk allowed vlan 3"]
["set interfaces ge-0/0/2", "interface ge-0/0/2"]
["set interfaces ge-0/0/2", "no shutdown"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching interface-mode access", "interface GigabitEthernet0/0/2"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan-3", "switchport"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan-3", "switchport access vlan 3"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan-3", "switchport trunk allowed vlan 3"]
["set interfaces ge-0/0/3", "interface ge-0/0/3"]
["set interfaces ge-0/0/3", "no shutdown"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching interface-mode trunk", "interface GigabitEthernet0/0/3"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members vlan-3", "switchport"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members vlan-3", "switchport access vlan 3"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members vlan-3", "switchport trunk allowed vlan 3"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members default", "switchport"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members default", "switchport access vlan 1"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members default", "switchport trunk allowed vlan 1"]
