["set system host-name CE3", "hostname CE3"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.3.1.1/30", "end"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.3.1.1/30", "ip address 10.3.1.1 255.255.255.252"]
["set interfaces lo0", "no shutdown"]
["set interfaces lo0 unit 1 family inet address 5.5.5.5/32", "ip address 5.5.5.5 255.255.255.255"]
["set routing-options autonomous-system 65420", "router bgp 65420"]
["set protocols bgp group EBGP", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group EBGP", "neighbor 10.1.1.2 activate"]
["set protocols bgp group EBGP", "no synchronization"]
["set protocols bgp group EBGP", "address-family ipv4 unicast"]
["set protocols bgp group EBGP", "address-family ipv4"]
["set protocols bgp group EBGP type external", "neighbor none remote-as none"]
["set protocols bgp group EBGP type external", "router bgp 65420"]
["set protocols bgp group EBGP type external", "neighbor 10.3.1.2 remote-as 100"]
["set protocols bgp group EBGP peer-as 100", "neighbor none remote-as 100"]
["set protocols bgp group EBGP peer-as 100", "neighbor 10.3.1.2 remote-as 100"]
["set protocols bgp group EBGP neighbor 10.3.1.2", "neighbor 10.3.1.2 remote-as none"]
["set protocols bgp group EBGP neighbor 10.3.1.2", "neighbor 10.3.1.2 remote-as 100"]
["set protocols bgp group EBGP family inet unicast", "address-family ipv4 unicast"]
["set protocols bgp group EBGP family inet unicast", "address-family inet unicast"]
["set protocols bgp group EBGP family inet unicast", "exit-address-family"]
