["set system host-name CE2", "hostname CE2"]
["set vlans vlan-5", "vlan 5"]
["set vlans vlan-5", "name vlan-5"]
["set interfaces ge-1/0/1", "interface GigabitEthernet1/0/1"]
["set interfaces ge-1/0/1", "no shutdown"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access", "switchport"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access", "switchport mode access"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "end"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "switchport"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "switchport access vlan 5"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "switchport trunk allowed vlan 5"]
["set interfaces ge-1/0/2", "no shutdown"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching port-mode access", "switchport"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching port-mode access", "switchport mode access"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "switchport"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "switchport access vlan 5"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "switchport trunk allowed vlan 5"]
["set interfaces ge-1/0/3", "no shutdown"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching port-mode trunk", "switchport"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching port-mode trunk", "switchport mode trunk"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-5", "switchport"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-5", "switchport access vlan 5"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-5", "switchport trunk allowed vlan 5"]
