["set system host-name CE1", "hostname CE1"]
["set vlans VLAN2", "interface GigabitEthernet0/0/3"]
["set vlans VLAN2", "switchport mode trunk"]
["set vlans VLAN2 vlan-id 2", "vlan 2"]
["set interfaces ge-0/0/1", "interface GigabitEthernet0/0/1"]
["set interfaces ge-0/0/1", "no shutdown"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching port-mode access", "switchport"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching port-mode access", "switchport mode access"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members VLAN2", "end"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members VLAN2", "switchport"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members VLAN2", "switchport access vlan 2"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members VLAN2", "switchport trunk allowed vlan 2"]
["set interfaces ge-0/0/1 disable", "ptp notslave disable"]
["set interfaces ge-0/0/2", "no shutdown"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching port-mode access", "switchport"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching port-mode access", "switchport mode access"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members VLAN2", "switchport"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members VLAN2", "switchport access vlan 2"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members VLAN2", "switchport trunk allowed vlan 2"]
["set interfaces ge-0/0/2 disable", "ptp notslave disable"]
["set interfaces ge-0/0/3", "no shutdown"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching port-mode trunk", "switchport"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching port-mode trunk", "switchport mode trunk"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members VLAN2", "switchport"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members VLAN2", "switchport access vlan 2"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members VLAN2", "switchport trunk allowed vlan 2"]
