["set system host-name CE2", "hostname CE2"]
["set interfaces ge-1/0/1", "interface GigabitEthernet1/0/1"]
["set interfaces ge-1/0/1", "no shutdown"]
["set interfaces ge-1/0/1 unit 20 vlan-id 20", "end"]
["set interfaces ge-1/0/1 unit 20 vlan-id 20", "switchport access vlan 20"]
["set interfaces ge-1/0/1 unit 20 family inet address 10.3.1.2/24", "ip address 10.3.1.2 255.255.255.0"]
["set protocols bgp group eBGP", "router bgp 600"]
["set protocols bgp group eBGP", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group eBGP", "neighbor 10.1.1.2 activate"]
["set protocols bgp group eBGP", "no synchronization"]
["set protocols bgp group eBGP", "address-family ipv4 unicast"]
["set protocols bgp group eBGP", "address-family ipv4"]
["set protocols bgp group eBGP type external", "neighbor none remote-as none"]
["set protocols bgp group eBGP type external", "router bgp 100"]
["set protocols bgp group eBGP type external", "neighbor 10.2.1.1 remote-as 100"]
["set protocols bgp group eBGP peer-as 100", "router bgp 100"]
["set protocols bgp group eBGP peer-as 100", "neighbor none remote-as 100"]
["set protocols bgp group eBGP peer-as 100", "neighbor 10.2.1.1 remote-as 100"]
["set protocols bgp group eBGP neighbor 10.2.1.1 family inet unicast", "aaa authentication login eBGP group 10.2.1.1 local"]
["set protocols bgp group eBGP export direct-routes", "aaa authentication login direct-routes group none local"]
["set policy-options policy-statement direct-routes", "route-map direct-routes permit 1"]
["set policy-options policy-statement direct-routes term 1 then accept", "bgp confederation identifier 1"]
