["set system host-name CE1", "hostname CE1"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.2/24", "end"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.2/24", "ip address 10.1.1.2 255.255.255.0"]
["set interfaces lo0", "no shutdown"]
["set interfaces lo0 unit 1 family inet address 11.11.11.11/32", "ip address 11.11.11.11 255.255.255.255"]
["set protocols bgp group external-peers", "router bgp 600"]
["set protocols bgp group external-peers", "neighbor none remote-as none"]
["set protocols bgp group external-peers", "neighbor 10.1.1.2 activate"]
["set protocols bgp group external-peers", "no synchronization"]
["set protocols bgp group external-peers", "address-family ipv4 unicast"]
["set protocols bgp group external-peers", "address-family ipv4"]
["set protocols bgp group external-peers type external", "router bgp external-peers"]
["set protocols bgp group external-peers type external", "neighbor none remote-as none"]
["set protocols bgp group external-peers type external", "router bgp 65410"]
["set protocols bgp group external-peers type external", "neighbor 10.1.1.1 remote-as 100"]
["set protocols bgp group external-peers peer-as 100", "router bgp 100"]
["set protocols bgp group external-peers peer-as 100", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group external-peers peer-as 100", "neighbor 10.1.1.1 remote-as 100"]
["set protocols bgp group external-peers neighbor 10.1.1.1", "neighbor 10.1.1.1 remote-as none"]
["set protocols bgp group external-peers neighbor 10.1.1.1", "neighbor 10.1.1.1 remote-as 100"]
["set protocols bgp group external-peers family inet unicast", "address-family ipv4 unicast"]
["set protocols bgp group external-peers family inet unicast", "address-family inet unicast"]
["set protocols bgp group external-peers family inet unicast", "exit-address-family"]
["set protocols bgp group external-peers export announce-lo0", "aaa authentication login announce-lo0 group external-peers local"]
["set protocols bgp local-as 65410", "router bgp 65410"]
["set policy-options policy-statement announce-lo0", "route-map announce-lo0 permit 10"]
["set policy-options policy-statement announce-lo0 term 1 from route-filter 11.11.11.11/32 exact", "route-map announce-lo0 permit 10 match ip address prefix-list LO0-ROUTE"]
["set policy-options policy-statement announce-lo0 term 1 from route-filter 11.11.11.11/32 exact", "ip prefix-list LO0-ROUTE permit 11.11.11.11/32"]
["set policy-options policy-statement announce-lo0 term 1 then accept", "route-map announce-lo0 permit 1"]
["set policy-options policy-statement announce-lo0 term 1 then accept", "bgp confederation identifier 1"]
