["set system host-name CE1", "hostname CE1"]
["set interfaces ge-2/0/0", "interface GigabitEthernet2/0/0"]
["set interfaces ge-2/0/0", "no shutdown"]
["set interfaces ge-2/0/0 unit 0 family inet address 10.4.1.1/24", "end"]
["set interfaces ge-2/0/0 unit 0 family inet address 10.4.1.1/24", "ip address 10.4.1.1 255.255.255.0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.1/24", "ip address 10.1.1.1 255.255.255.0"]
["set routing-options static route 0.0.0.0/0", "ip route 0.0.0.0 0.0.0.0 none none"]
["set routing-options static route 0.0.0.0/0 next-hop 10.1.1.2", "ip route 0.0.0.0 0.0.0.0 10.1.1.2"]
["set protocols bgp group IBGP", "router bgp 600"]
["set protocols bgp group IBGP", "neighbor none remote-as none"]
["set protocols bgp group IBGP", "neighbor none activate"]
["set protocols bgp group IBGP", "no synchronization"]
["set protocols bgp group IBGP", "address-family ipv4 unicast"]
["set protocols bgp group IBGP", "address-family ipv4"]
["set protocols bgp group IBGP type external", "neighbor none remote-as none"]
["set protocols bgp group IBGP type external", "router bgp 100"]
["set protocols bgp group IBGP type external", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group IBGP type external", "neighbor 10.1.1.2 ebgp-multihop 255"]
["set protocols bgp group IBGP peer-as 100", "router bgp 100"]
["set protocols bgp group IBGP peer-as 100", "neighbor none remote-as 100"]
["set protocols bgp group IBGP peer-as 100", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group IBGP neighbor 10.1.1.2", "neighbor 10.1.1.2 remote-as none"]
["set protocols bgp group IBGP neighbor 10.1.1.2", "router bgp 100"]
["set protocols bgp group IBGP neighbor 10.1.1.2", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group IBGP family inet unicast", "address-family ipv4 unicast"]
["set protocols bgp group IBGP family inet unicast", "address-family inet unicast"]
["set protocols bgp group IBGP family inet unicast", "exit-address-family"]
["set protocols bgp group IBGP export BGP-NETWORKS", "aaa authentication login BGP-NETWORKS group IBGP local"]
["set policy-options policy-statement BGP-NETWORKS", "route-map BGP-NETWORKS permit 10"]
["set policy-options policy-statement BGP-NETWORKS term 1 from route-filter 10.1.1.0/24 exact", "route-map BGP-NETWORKS permit 10"]
["set policy-options policy-statement BGP-NETWORKS term 1 from route-filter 10.1.1.0/24 exact", "match ip address prefix-list BGP-NETWORKS"]
["set policy-options policy-statement BGP-NETWORKS term 1 then accept", "route-map BGP-NETWORKS permit 1"]
["set policy-options policy-statement BGP-NETWORKS term 1 then accept", "bgp confederation identifier 1"]
