["set system host-name CE2", "hostname CE2"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching port-mode access", "switchport"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching port-mode access", "switchport mode access"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members 10", "end"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members 10", "switchport"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members 10", "switchport access vlan 10"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members 10", "switchport trunk allowed vlan 10"]
["set interfaces ge-1/0/0 enable", "ipv6 enable"]
["set interfaces ge-2/0/0", "interface GigabitEthernet2/0/0"]
["set interfaces ge-2/0/0", "no shutdown"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching port-mode access", "switchport"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching port-mode access", "switchport mode access"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching vlan members 10", "switchport"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching vlan members 10", "switchport access vlan 10"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching vlan members 10", "switchport trunk allowed vlan 10"]
["set interfaces ge-2/0/0 enable", "ipv6 enable"]
["set vlans v10", "vlan 10"]
["set vlans v10", "name v10"]
