["sysname CE2", "set system host-name CE2"]
["vlan batch 3", "set vlans vlan3 vlan-id 3"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["portswitch", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access"]
["portswitch", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode trunk"]
["undo shutdown", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 unit 0 disable"]
["port link-type access", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access"]
["port default vlan 3", "set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members 3"]
["interface GigabitEthernet1/0/2", "set interfaces ge-1/0/1 disable"]
["interface GigabitEthernet1/0/3", "set interfaces ge-1/0/1 disable"]
["port link-type trunk", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode trunk"]
["port trunk allow-pass vlan 3", "set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members 3"]
