["sysname CE1", "set system host-name CE1"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 unit 0 disable"]
["ip address 10.1.1.1 255.255.255.252", "set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.1/30"]
["interface LoopBack1", "set interfaces ge-1/0/0 disable"]
["ip address 3.3.3.3 255.255.255.255", "set interfaces ge-1/0/0 unit 0 family inet address 3.3.3.3/32"]
["bgp 65410", "set routing-options autonomous-system 65410"]
["bgp 65410", "set protocols bgp group 65410 type external"]
["peer 10.1.1.2 as-number 100", "set protocols bgp group 65410 type external"]
["peer 10.1.1.2 as-number 100", "set protocols bgp group 65410 neighbor 10.1.1.2 peer-as 100"]
["peer 10.1.1.2 as-number 100", "set protocols bgp group 65410 peer-as 100"]
["peer 10.1.1.2 as-number 100", "set protocols bgp group 65410 export BGP-NETWORKS"]
["ipv4-family unicast", "set protocols bgp group 65410 family inet unicast"]
["undo synchronization", "set protocols bgp group 65410 family inet-vpn unicast"]
["import-route direct", "set policy-options policy-statement DIRECT-IMPORT term 1 from protocol direct"]
["peer 10.1.1.2 enable", "set policy-options policy-statement BGP-NETWORKS term 1 then accept"]
