["sysname CE1", "set system host-name CE1"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 unit 0 disable"]
["ip address 10.1.1.2 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.2/24"]
["interface LoopBack1", "set interfaces lo0.1 disable"]
["ip address 11.11.11.11 255.255.255.255", "set interfaces ge-1/0/0 unit 0 family inet address 11.11.11.11/32"]
["bgp 65410", "set routing-options autonomous-system 65410"]
["bgp 65410", "set protocols bgp group 65410 type 65410"]
["peer 10.1.1.1 as-number 100", "set protocols bgp group 65410 type external"]
["peer 10.1.1.1 as-number 100", "set protocols bgp group 65410 neighbor 10.1.1.1 peer-as 100"]
["peer 10.1.1.1 as-number 100", "set protocols bgp group 65410 peer-as 100"]
["peer 10.1.1.1 as-number 100", "set protocols bgp group 65410 export BGP-NETWORKS"]
["ipv4-family unicast", "set protocols bgp group 65410 family inet unicast"]
["undo synchronization", "set protocols bgp group 65410 family inet-vpn unicast"]
["network 11.11.11.11 255.255.255.255", "set protocols ospf area 0.0.0.11 interface ge-0/0/1.0"]
["peer 10.1.1.1 enable", "set policy-options policy-statement BGP-NETWORKS term 65410 then 10.1.1.1"]
