["sysname CE2", "set system host-name CE2"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 unit 0 disable"]
["interface GigabitEthernet1/0/1.1", "set interfaces ge-1/0/1 disable"]
["vlan-type dot1q 20", "set interfaces ge-1/0/1 unit 1 vlan-id 20"]
["vlan-type dot1q 20", "set interfaces ge-1/0/1 unit 0 family ethernet-switching interface-mode trunk"]
["vlan-type dot1q 20", "set interfaces ge-1/0/1 unit 1 encapsulation vlan-ccc"]
["ip address 10.3.1.2 255.255.255.0", "set interfaces ge-1/0/1 unit 0 family inet address 10.3.1.2/24"]
["bgp 65420", "set routing-options autonomous-system 65420"]
["bgp 65420", "set protocols bgp group 65420 type external"]
["peer 10.2.1.1 as-number 100", "set protocols bgp group 65420 type external"]
["peer 10.2.1.1 as-number 100", "set protocols bgp group 65420 neighbor 10.2.1.1 peer-as 100"]
["peer 10.2.1.1 as-number 100", "set protocols bgp group 65420 peer-as 100"]
["peer 10.2.1.1 as-number 100", "set protocols bgp group 65420 export BGP-NETWORKS"]
["ipv4-family unicast", "set protocols bgp group 65420 family inet unicast"]
["undo synchronization", "set protocols bgp group 65420 family inet-vpn unicast"]
["import-route direct", "set policy-options policy-statement DIRECT-IMPORT term 1 from protocol direct"]
["peer 10.2.1.1 enable", "set policy-options policy-statement BGP-PEER-10.2.1.1 term 65420 then 10.2.1.1"]
