["sysname CE3", "set system host-name CE3"]
["interface Gigabitethernet1/0/0", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 unit 0 disable"]
["ip address 10.3.1.1 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.3.1.1/24"]
["bgp 800", "set routing-options autonomous-system 800"]
["bgp 800", "set protocols bgp group 800 type 800"]
["peer 10.3.1.2 as-number 100", "set protocols bgp group 800 type external"]
["peer 10.3.1.2 as-number 100", "set protocols bgp group 800 neighbor 10.3.1.2 peer-as 100"]
["peer 10.3.1.2 as-number 100", "set protocols bgp group 800 peer-as 100"]
["peer 10.3.1.2 as-number 100", "set protocols bgp group 800 export BGP-NETWORKS"]
["ipv4-family unicast", "set protocols bgp group 800 family inet unicast"]
["undo synchronization", "set protocols bgp group 800 family inet-vpn unicast"]
["import-route direct", "set policy-options policy-statement DIRECT-IMPORT term 1 from protocol direct"]
["peer 10.3.1.2 enable", "set policy-options policy-statement BGP-NETWORKS term 1 then accept"]
