["sysname CE2", "set system host-name CE2"]
["vlan batch 5", "set vlans vlan5 vlan-id 5"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 unit 0 disable"]
["portswitch", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access"]
["portswitch", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode trunk"]
["port link-type access", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access"]
["port default vlan 5", "set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members 5"]
["interface GigabitEthernet1/0/2", "set interfaces ge-1/0/1 disable"]
["interface GigabitEthernet1/0/3", "set interfaces ge-1/0/1 disable"]
["port link-type trunk", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode trunk"]
["port trunk allow-pass vlan 5", "set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members 5"]
